elapsed_seconds,elapsed_label,before_timestamp_kst,before_rps,after_timestamp_kst,after_rps
0,0:00,2026-07-14T14:51:34+09:00,0.000000,2026-07-14T23:12:01+09:00,0.000000
15,0:15,2026-07-14T14:51:49+09:00,0.000000,2026-07-14T23:12:16+09:00,0.100000
30,0:30,2026-07-14T14:52:04+09:00,0.000000,2026-07-14T23:12:31+09:00,0.100000
45,0:45,2026-07-14T14:52:19+09:00,0.000000,2026-07-14T23:12:46+09:00,0.000000
60,1:00,2026-07-14T14:52:34+09:00,0.000000,2026-07-14T23:13:01+09:00,0.000000
75,1:15,2026-07-14T14:52:49+09:00,2.366667,2026-07-14T23:13:16+09:00,0.033333
90,1:30,2026-07-14T14:53:04+09:00,2.366667,2026-07-14T23:13:31+09:00,0.033333
105,1:45,2026-07-14T14:53:19+09:00,3.166667,2026-07-14T23:13:46+09:00,0.066667
120,2:00,2026-07-14T14:53:34+09:00,3.166667,2026-07-14T23:14:01+09:00,0.066667
135,2:15,2026-07-14T14:53:49+09:00,4.333333,2026-07-14T23:14:16+09:00,0.000000
150,2:30,2026-07-14T14:54:04+09:00,4.333333,2026-07-14T23:14:31+09:00,0.000000
165,2:45,2026-07-14T14:54:19+09:00,5.500000,2026-07-14T23:14:46+09:00,0.100000
180,3:00,2026-07-14T14:54:34+09:00,5.500000,2026-07-14T23:15:01+09:00,0.100000
195,3:15,2026-07-14T14:54:49+09:00,3.333333,2026-07-14T23:15:16+09:00,0.000000
210,3:30,2026-07-14T14:55:04+09:00,3.333333,2026-07-14T23:15:31+09:00,0.000000
225,3:45,2026-07-14T14:55:19+09:00,4.666667,2026-07-14T23:15:46+09:00,0.100000
240,4:00,2026-07-14T14:55:34+09:00,4.666667,2026-07-14T23:16:01+09:00,0.100000
255,4:15,2026-07-14T14:55:49+09:00,5.233333,2026-07-14T23:16:16+09:00,0.000000
270,4:30,2026-07-14T14:56:04+09:00,5.233333,2026-07-14T23:16:31+09:00,0.000000
285,4:45,2026-07-14T14:56:19+09:00,3.733333,2026-07-14T23:16:46+09:00,0.100000
300,5:00,2026-07-14T14:56:34+09:00,3.733333,2026-07-14T23:17:01+09:00,0.100000
315,5:15,2026-07-14T14:56:49+09:00,4.500000,2026-07-14T23:17:16+09:00,0.000000
330,5:30,2026-07-14T14:57:04+09:00,4.500000,2026-07-14T23:17:31+09:00,0.000000
345,5:45,2026-07-14T14:57:19+09:00,5.500000,2026-07-14T23:17:46+09:00,0.100000
360,6:00,2026-07-14T14:57:34+09:00,5.500000,2026-07-14T23:18:01+09:00,0.100000
375,6:15,2026-07-14T14:57:49+09:00,3.500000,2026-07-14T23:18:16+09:00,0.000000
390,6:30,2026-07-14T14:58:04+09:00,3.500000,2026-07-14T23:18:31+09:00,0.000000
405,6:45,2026-07-14T14:58:19+09:00,4.400000,2026-07-14T23:18:46+09:00,0.100000
420,7:00,2026-07-14T14:58:34+09:00,4.400000,2026-07-14T23:19:01+09:00,0.100000
435,7:15,2026-07-14T14:58:49+09:00,28.766667,2026-07-14T23:19:16+09:00,0.000000
450,7:30,2026-07-14T14:59:04+09:00,28.766667,2026-07-14T23:19:31+09:00,0.000000
465,7:45,2026-07-14T14:59:19+09:00,28.900000,2026-07-14T23:19:46+09:00,0.100000
480,8:00,2026-07-14T14:59:34+09:00,28.900000,2026-07-14T23:20:01+09:00,0.100000
